ID,Name,Maths,Science,English,Total
S001,Kristine Ventura,3,39,55,97
S002,Jason Gonzalez,54,3,29,86
S003,Kaye James,31,37,74,142
S004,Jarvis Hardy,95,38,56,189
S005,Jennifer Hermann,24,30,69,123
S006,Beverly Bradwell,54,9,34,97
S007,Toi Beatty,12,65,26,103
S008,Ty Ferguson,57,77,80,214
S009,Sharon Sheriff,100,49,50,199
S010,Robert Samuel,50,11,94,155
S011,James Moon,29,22,47,98
S012,Cathy Montgomery,27,60,75,162
S013,Shirley Bren,63,17,40,120
S014,Jessie Maurin,69,31,61,161
S015,Carlton Serio,50,57,98,205
S016,Hilary Lemire,45,98,80,223
S017,Theodore Wolf,94,9,38,141
S018,Adam Batchelor,56,6,14,76
S019,Sylvia Daisy,4,50,49,103
S020,Pauline Mcwaters,47,10,38,95
S021,Donald Walker,63,93,49,205
S022,Tonya Mccray,81,31,5,117
S023,Carrie Ortiz,87,12,91,190
S024,Don Osteen,54,49,53,156
S025,Melvin Votaw,1,99,7,107
S026,William Gonsalves,41,33,16,90
S027,Isabell Potts,79,83,18,180
S028,George Kleiman,25,27,51,103
S029,Eric Rusboldt,32,70,96,198
S030,Walter Yang,58,5,55,118
S031,William Matthew,0,44,70,114
S032,Katy Gomes,90,17,39,146
S033,Rodney Lemmon,32,17,21,70
S034,Paul Barringer,25,77,28,130
S035,Brian Arnold,43,32,18,93
S036,Marie Redner,90,47,52,189
S037,Margaret Lindhorst,76,11,40,127
S038,Horace Stratter,3,96,42,141
S039,Michael Ashley,33,98,70,201
S040,Rachel Carnagey,17,24,15,56
S041,Timothy Carter,28,3,89,120
S042,David Keeler,36,80,26,142
S043,Garrett Devilbiss,80,3,57,140
S044,Lela Kinkead,15,24,57,96
S045,Kathleen Ballard,59,35,41,135
S046,Bernice Ball,53,61,77,191
S047,Claire Lugo,12,58,33,103
S048,Jennifer Pring,5,66,96,167
S049,Perry Peralta,75,90,69,234
S050,Judith Bannerman,91,14,92,197
S051,Harriett Domina,35,33,83,151
S052,David Ashby,65,6,52,123
S053,Juan Hawkins,47,72,67,186
S054,Elizabeth Bloodsaw,20,21,16,57
S055,Leroy Haller,43,6,78,127
S056,Wanda Stone,68,70,27,165
S057,Pauline Kelly,23,36,15,74
S058,Mary Adriance,36,31,61,128
S059,Daryl Giard,31,79,77,187
S060,Judith Gray,66,51,70,187
S061,Fidel Reid,64,86,84,234
S062,Blanche Williams,32,71,16,119
S063,Joni Huerta,97,23,96,216
S064,Luis Bruhn,26,80,55,161
S065,Bruce Johnson,83,40,49,172
S066,Paul Cohen,72,82,38,192
S067,Richard Covert,11,80,9,100
S068,Sherry Arnold,95,51,19,165
S069,Shaun Brandon,69,75,14,158
S070,Doris Hovermale,45,45,84,174
S071,Tracy Cazier,98,45,54,197
S072,Ryan Bunch,60,91,90,241
S073,Jamie Paquin,60,55,9,124
S074,Patricia Brummell,21,0,1,22
S075,Trent Arriaga,13,75,23,111
S076,Ricky Whitaker,1,82,0,83
S077,Reginald Bobek,91,83,63,237
S078,Sarah Compton,53,53,42,148
S079,Benjamin Sanders,5,23,14,42
S080,Gale Strickland,31,34,94,159
S081,Donald Martinie,6,94,28,128
S082,Ruby Obryan,50,60,60,170
S083,Cynthia Bolden,37,35,90,162
S084,Larry Brown,50,86,26,162
S085,Dessie Moore,99,17,89,205
S086,James Witham,23,12,29,64
