Account_no,Name,Address,Phone_no,PAN,A/C type,Balance
1000000001,John Doe,123 Maple St,555-1234,ABCDE1234F,Savings,1000
1000000002,Jane Smith,456 Oak St,555-5678,BCDEF2345G,Savings,2800
1000000003,Michael Johnson,789 Pine St,555-9876,CDEFG3456H,Current,5000
1000000004,Emily Davis,321 Cedar St,555-6543,DEFGH4567I,Savings,1200
1000000005,David Wilson,654 Elm St,555-3210,EFGHI5678J,Current,3200
1000000006,Olivia Brown,987 Birch St,555-4321,FGHIJ6789K,Savings,8700
1000000007,Liam Miller,159 Ash St,555-7654,GHIJK7890L,Current,6200
1000000008,Ava Taylor,753 Walnut St,555-5432,HIJKL8901M,Savings,2100
1000000009,Noah Anderson,951 Poplar St,555-8765,IJKLM9012N,Current,9300
1000000010,Isabella Thomas,357 Chestnut St,555-9870,JKLMN0123O,Savings,4500
1000000011,Mason Moore,258 Beech St,555-0987,KLMNO1234P,Savings,6700
1000000012,Sophia White,456 Cypress St,555-6789,LMNOP2345Q,Current,3800
1000000013,James Harris,147 Redwood St,555-8760,MNOPQ3456R,Savings,2900
1000000014,Charlotte Clark,369 Willow St,555-7650,NOPQR4567S,Current,7200
1000000015,Benjamin Lewis,741 Maplewood St,555-6540,OPQRS5678T,Savings,5400
1000000016,Evelyn Walker,963 Linden St,555-5430,PQRST6789U,Current,8100
1000000017,Lucas Hall,852 Spruce St,555-4320,QRSTU7890V,Savings,3200
1000000018,Mia Young,753 Alder St,555-3210,RSTUV8901W,Current,1900
1000000019,Henry King,654 Fir St,555-2109,STUVW9012X,Savings,1100
1000000020,Amelia Scott,147 Cedarwood St,555-1098,TUVWX0123Y,Current,7100
1000000021,Sahir Samin,23 Saint Street,8768685848,TRIG4343YR,Savings,30000
1000000022,Gaurav Rana,34 Well Street,5959595959,TRISJ2432W,Savings,400000
2,Gaura,asf,asdf,sadf,asdf,saf
